" TAXYEAR","TAXDISTRICT","TAXINGAUTHORITY"
"2025","2602","1050"
"2025","4688","0301"
"2025","6388","0512"
"2025","6913","0620"
"2025","2265","0512"
"2025","3278","0405"
"2025","6670","1484"
"2025","4057","0700"
"2025","4180","0306"
"2025","5646","0911"
"2025","4969","0303"
"2025","5353","1050"
"2025","3129","0700"
"2025","4224","0301"
"2025","2819","0205"
"2025","3712","1414"
"2025","3299","0901"
"2025","3916","0100"
"2025","5039","0301"
"2025","6860","0620"
"2025","3321","0901"
"2025","2760","0620"
"2025","5601","0620"
"2025","5697","1202"
"2025","4160","1204"
"2025","9999","1503"
"2025","0711","1050"
"2025","4325","0620"
"2025","2927","0303"
"2025","4388","0518"
"2025","5124","0309"
"2025","6071","0100"
"2025","9698","1051"
"2025","2486","0518"
"2025","4990","0512"
"2025","4505","0201"
"2025","5218","0305"
"2025","5993","1642"
"2025","9999","1393"
"2025","4023","1402"
"2025","5319","1050"
"2025","6125","1616"
"2025","6368","0700"
"2025","6368","0415"
"2025","0056","0213"
"2025","4096","0529"
"2025","4181","0428"
"2025","4131","0311"
"2025","6123","1472"
"2025","2334","0213"
"2025","6592","1766"
"2025","4905","1501"
"2025","5059","0202"
"2025","6208","1404"
"2025","1476","1050"
"2025","3196","0213"
"2025","5537","0213"
"2025","6201","0100"
"2025","6653","0901"
"2025","0833","0700"
"2025","5516","0213"
"2025","6385","0303"
"2025","3517","0900"
"2025","5117","0301"
"2025","5642","0700"
"2025","5774","0302"
"2025","5859","0100"
"2025","5986","0303"
"2025","6734","1310"
"2025","4298","0208"
"2025","5060","0202"
"2025","5725","0421"
"2025","0507","0301"
"2025","2840","0700"
"2025","5153","0513"
"2025","9999","1555"
"2025","0816","0305"
"2025","0407","0100"
"2025","0809","0100"
"2025","2886","1050"
"2025","4568","0313"
"2025","5970","0100"
"2025","6096","0100"
"2025","3093","0516"
"2025","4677","1412"
"2025","4940","0620"
"2025","0451","0100"
"2025","3076","1206"
"2025","3228","1050"
"2025","5649","1594"
"2025","4695","0100"
"2025","5653","1050"
"2025","5841","0405"
"2025","1297","1050"
"2025","3093","0302"
"2025","4188","0301"
"2025","4703","0100"
"2025","5413","0900"
"2025","9999","1446"
"2025","2208","0201"
"2025","5095","1204"
"2025","5859","0515"
"2025","6097","0100"
"2025","6290","0213"
"2025","6595","0100"
"2025","6788","0306"
"2025","4675","0203"
"2025","5471","0620"
"2025","5808","0313"
"2025","5935","0502"
"2025","5565","0620"
"2025","6406","1403"
"2025","9999","1444"
"2025","2156","0302"
"2025","2737","0305"
"2025","4436","0100"
"2025","5428","0301"
"2025","6211","1399"
"2025","0165","0302"
"2025","3662","1356"
"2025","6906","0100"
"2025","4536","1051"
"2025","4777","0303"
"2025","6101","0305"
"2025","0716","0700"
"2025","5910","0312"
"2025","6246","0100"
"2025","9999","1482"
"2025","4168","1310"
"2025","4604","0206"
"2025","5439","0507"
"2025","6114","0100"
"2025","1431","1050"
"2025","3135","0301"
"2025","6738","0620"
"2025","6779","0512"
"2025","4605","0700"
"2025","5540","1506"
"2025","6034","0419"
"2025","0335","0302"
"2025","5005","1200"
"2025","0880","0100"
"2025","5949","0420"
"2025","2226","0100"
"2025","5604","0428"
"2025","6570","0700"
"2025","8583","0512"
"2025","0563","0700"
"2025","3628","1333"
"2025","6569","0213"
"2025","2564","0700"
"2025","6584","0301"
"2025","0593","0301"
"2025","3523","1334"
"2025","3646","0700"
"2025","4242","0506"
"2025","5017","1209"
"2025","5881","1050"
"2025","4312","1206"
"2025","9999","1474"
"2025","5927","1050"
"2025","5522","0213"
"2025","6431","1706"
"2025","0043","0100"
"2025","4013","0521"
"2025","4766","0408"
"2025","6592","0100"
"2025","4002","0700"
"2025","4017","0100"
"2025","6836","0213"
"2025","5862","0100"
"2025","5873","0100"
"2025","6709","0305"
"2025","3370","1050"
"2025","2197","1050"
"2025","4506","0700"
"2025","5309","0100"
"2025","3294","0313"
"2025","5841","0309"
"2025","6845","0100"
"2025","0142","0511"
"2025","0547","0700"
"2025","2078","1050"
"2025","2702","0900"
"2025","3256","0901"
"2025","3855","1050"
"2025","4438","0100"
"2025","6463","0306"
"2025","9603","0203"
"2025","0790","0700"
"2025","3290","0700"
"2025","3349","1051"
"2025","3667","1354"
"2025","3893","0100"
"2025","2500","0203"
"2025","4733","0311"
"2025","4966","0213"
"2025","5100","0428"
"2025","5654","0100"
"2025","6541","1399"
"2025","0120","1050"
"2025","3161","0301"
"2025","3915","0534"
"2025","5152","0301"
"2025","3054","1201"
"2025","4676","0203"
"2025","3911","0404"
"2025","4518","0429"
"2025","2685","0303"
"2025","4790","0900"
"2025","5094","0100"
"2025","5377","0213"
"2025","3993","0700"
"2025","5003","0100"
"2025","2524","0503"
"2025","5788","0309"
"2025","6277","0512"
"2025","6307","0512"
"2025","5426","0301"
"2025","6216","0306"
"2025","0551","0205"
"2025","3924","1050"
"2025","6573","0100"
"2025","6856","0700"
"2025","3087","0313"
"2025","6544","0301"
"2025","5989","1200"
"2025","2498","1209"
"2025","2828","0421"
"2025","3267","0700"
"2025","5850","0510"
"2025","0693","1050"
"2025","1314","0512"
"2025","4711","0100"
"2025","0579","1050"
"2025","5818","0204"
"2025","2237","1201"
"2025","4508","0100"
"2025","6790","0901"
"2025","2258","0700"
"2025","3258","1050"
"2025","3401","0302"
"2025","3630","1050"
"2025","4602","0201"
"2025","2312","0502"
"2025","2531","0205"
"2025","3323","0700"
"2025","0714","0305"
"2025","1285","0620"
"2025","3796","0512"
"2025","4962","0100"
"2025","2615","0700"
"2025","4772","1488"
"2025","5004","0213"
"2025","6114","0512"
"2025","6086","0419"
"2025","6175","0406"
"2025","6289","0700"
"2025","2186","1050"
"2025","3349","0204"
"2025","6141","0301"
"2025","6191","0301"
"2025","2747","0301"
"2025","4736","0515"
"2025","0083","0204"
"2025","6288","0100"
"2025","6878","0406"
"2025","4071","0521"
"2025","0922","0700"
"2025","6206","0415"
"2025","0879","0309"
"2025","2143","1301"
"2025","4266","0700"
"2025","4309","1206"
"2025","4654","1051"
"2025","2608","0100"
"2025","6680","1050"
"2025","6953","0965"
"2025","0467","0414"
"2025","5196","0407"
"2025","5459","0301"
"2025","6547","0100"
"2025","0701","0207"
"2025","4749","0100"
"2025","5671","0427"
"2025","6429","1206"
"2025","2264","0512"
"2025","3618","0313"
"2025","5342","1050"
"2025","6781","0306"
"2025","0076","0507"
"2025","5001","0531"
"2025","5938","0100"
"2025","0075","0507"
"2025","2367","0521"
"2025","5110","1206"
"2025","5223","0213"
"2025","6284","0301"
"2025","0579","0205"
"2025","2303","1050"
"2025","2441","0700"
"2025","4314","0100"
"2025","5512","1050"
"2025","4644","0512"
"2025","5248","0407"
"2025","4825","0406"
"2025","6229","0304"
"2025","3058","0208"
"2025","3244","0700"
"2025","3282","0700"
"2025","3799","0301"
"2025","5699","0519"
"2025","6110","1050"
"2025","4235","0213"
"2025","6828","0700"
"2025","4027","0301"
"2025","4243","0301"
"2025","6735","0100"
"2025","2817","0301"
"2025","3139","0213"
"2025","2250","0302"
"2025","4020","0414"
"2025","4555","0510"
"2025","4778","0100"
"2025","6699","0309"
"2025","3932","0406"
"2025","4348","0301"
"2025","5646","0700"
"2025","4575","0206"
"2025","6087","0521"
"2025","6457","0100"
"2025","0145","0301"
"2025","6812","0700"
"2025","3962","0301"
"2025","4049","0206"
"2025","4627","0301"
"2025","4985","1202"
"2025","2886","0302"
"2025","4473","0201"
"2025","6641","0303"
"2025","3427","1050"
"2025","3630","0205"
"2025","4419","0507"
"2025","5248","0301"
"2025","6109","0620"
"2025","4233","0100"
"2025","6048","1206"
"2025","3411","0206"
"2025","5659","0311"
"2025","6153","0700"
"2025","6626","0204"
"2025","6763","0301"
"2025","2373","0901"
"2025","6006","1301"
"2025","6529","0206"
"2025","6762","0510"
"2025","9999","0997"
"2025","0066","0305"
"2025","2220","0700"
"2025","3324","1050"
"2025","3252","0100"
"2025","4201","0301"
"2025","6010","0700"
"2025","4876","0620"
"2025","2371","1050"
"2025","6566","1360"
"2025","3465","0213"
"2025","4882","0100"
"2025","6332","1050"
"2025","6697","1050"
"2025","4283","0507"
"2025","6925","1202"
"2025","6806","1050"
"2025","0016","0100"
"2025","3826","0301"
"2025","5563","0965"
"2025","5948","0213"
"2025","6129","0301"
"2025","6762","0100"
"2025","5032","0100"
"2025","6071","0512"
"2025","6146","0507"
"2025","3567","0512"
"2025","5213","0100"
"2025","6103","1497"
"2025","0318","0309"
"2025","0651","0309"
"2025","2124","0301"
"2025","2444","0700"
"2025","3422","0100"
"2025","4491","1050"
"2025","4163","0301"
"2025","5464","0213"
"2025","5448","0952"
"2025","0563","0510"
"2025","4367","1050"
"2025","5022","1200"
"2025","2203","0100"
"2025","3159","0513"
"2025","4356","0301"
"2025","5101","1051"
"2025","3252","0700"
"2025","9618","0301"
"2025","6572","0303"
"2025","6078","0301"
"2025","0148","0201"
"2025","0428","0301"
"2025","0449","1051"
"2025","2910","1201"
"2025","5138","1360"
"2025","5251","0100"
"2025","6248","0301"
"2025","1424","0408"
"2025","3609","0213"
"2025","6335","0512"
"2025","3248","0700"
"2025","3881","1200"
"2025","0158","0301"
"2025","0746","0100"
"2025","2505","0208"
"2025","3520","0100"
"2025","4815","0531"
"2025","6398","0302"
"2025","9999","1364"
"2025","9999","1529"
"2025","3619","1202"
"2025","5244","0521"
"2025","6581","0100"
"2025","0635","0309"
"2025","4661","0700"
"2025","5039","0202"
"2025","3527","1050"
"2025","2748","0100"
"2025","3720","0303"
"2025","5471","1202"
"2025","0055","1050"
"2025","5086","1051"
"2025","5424","0962"
"2025","5622","0507"
"2025","6846","0100"
"2025","3054","1050"
"2025","3946","0301"
"2025","5268","1435"
"2025","6760","1050"
"2025","4511","0309"
"2025","4936","0213"
"2025","5780","0421"
"2025","6497","0100"
"2025","6303","0205"
"2025","6941","0620"
"2025","2400","0304"
"2025","3885","0100"
"2025","5654","0515"
"2025","5684","0213"
"2025","6692","0303"
"2025","4299","0406"
"2025","3689","0208"
"2025","4949","1050"
"2025","5757","1050"
"2025","2124","0700"
"2025","3931","0213"
"2025","4161","1050"
"2025","5577","0620"
"2025","2612","0301"
"2025","4915","0512"
"2025","2901","0313"
"2025","5190","0700"
"2025","5423","0306"
"2025","6585","0301"
"2025","2382","0303"
"2025","4877","0531"
"2025","6038","0302"
"2025","6143","0507"
"2025","6550","0945"
"2025","0194","0201"
"2025","4907","0521"
"2025","4238","0208"
"2025","6978","0309"
"2025","4035","0406"
"2025","3670","0100"
"2025","6390","0100"
"2025","3695","1206"
"2025","4841","1050"
"2025","4510","0100"
"2025","5588","0301"
"2025","5896","0700"
"2025","5626","0100"
"2025","6818","0206"
"2025","2671","0406"
"2025","2194","1201"
"2025","2857","0100"
"2025","9999","0964"
"2025","4769","0301"
"2025","5129","0531"
"2025","5035","0501"
"2025","5575","0213"
"2025","6860","1202"
"2025","2390","1050"
"2025","4704","0100"
"2025","2452","0100"
"2025","4978","0405"
"2025","5178","0207"
"2025","2203","0309"
"2025","3118","0205"
"2025","3842","0502"
"2025","3800","0303"
"2025","4419","1050"
"2025","4469","0309"
"2025","4696","0311"
"2025","0185","0201"
"2025","4673","0100"
"2025","5101","0204"
"2025","6219","0700"
"2025","6580","0306"
"2025","5528","0972"
"2025","0562","0421"
"2025","2760","1202"
"2025","3819","0700"
"2025","5198","1050"
"2025","6676","1050"
"2025","6912","0100"
"2025","0450","0521"
"2025","4509","0301"
"2025","5194","0100"
"2025","2313","0512"
"2025","4391","0528"
"2025","4586","1364"
"2025","3565","0620"
"2025","3989","0301"
"2025","4657","0512"
"2025","4838","0311"
"2025","5195","0302"
"2025","5382","1050"
"2025","6130","1202"
"2025","0413","0100"
"2025","2391","0512"
"2025","2360","0306"
"2025","6478","0507"
"2025","6594","0100"
"2025","4756","0311"
"2025","2923","0306"
"2025","3349","0310"
"2025","5160","0700"
"2025","0930","0301"
"2025","6351","0301"
"2025","4211","0512"
"2025","5637","1051"
"2025","6976","1201"
"2025","2366","0301"
"2025","5975","0700"
"2025","6131","0408"
"2025","3630","0301"
"2025","6261","0311"
"2025","6408","0516"
"2025","5473","0406"
"2025","6763","0205"
"2025","0258","0501"
"2025","4165","1430"
"2025","4967","1324"
"2025","5114","1050"
"2025","0109","0301"
"2025","4295","0429"
"2025","4844","1050"
"2025","5454","0507"
"2025","6890","0404"
"2025","3117","0201"
"2025","4318","0405"
"2025","4343","0700"
"2025","4958","0891"
"2025","5763","1050"
"2025","5845","0208"
"2025","7112","7812"
"2025","0081","0100"
"2025","2561","0213"
"2025","4211","0100"
"2025","5972","0100"
"2025","0018","0407"
"2025","3247","1365"
"2025","3350","1051"
"2025","3673","1202"
"2025","4596","0100"
"2025","4631","0100"
"2025","3504","0700"
"2025","5926","0301"
"2025","3485","1050"
"2025","5904","0214"
"2025","9999","0802"
"2025","0057","0213"
"2025","2816","0513"
"2025","5413","0301"
"2025","5858","0700"
"2025","5622","1050"
"2025","5779","0306"
"2025","1450","0305"
"2025","2327","1202"
"2025","4351","0512"
"2025","4875","0213"
"2025","5584","1050"
"2025","6406","1208"
"2025","2889","1050"
"2025","1102","1200"
"2025","4287","0531"
"2025","5071","0519"
"2025","5107","0100"
"2025","6945","0521"
"2025","0820","0100"
"2025","2378","1050"
"2025","3918","0201"
"2025","4559","1050"
"2025","4401","0206"
"2025","6606","0420"
"2025","5182","0100"
"2025","0026","0301"
"2025","3158","0700"
"2025","4634","0301"
"2025","5086","0428"
"2025","3048","0201"
"2025","4439","0408"
"2025","6203","0303"
"2025","6251","0100"
"2025","6732","0100"
"2025","0117","1050"
"2025","2900","1050"
"2025","3157","0201"
"2025","4589","0513"
"2025","4505","1202"
"2025","0144","1050"
"2025","2422","1206"
"2025","5958","0512"
"2025","2284","0700"
"2025","3624","0213"
"2025","5205","1050"
"2025","5721","1206"
"2025","6829","0301"
"2025","0430","0521"
"2025","1430","0507"
"2025","3941","0620"
"2025","6492","0100"
"2025","4939","0512"
"2025","3192","0512"
"2025","4518","0302"
"2025","5917","0100"
"2025","6235","0301"
"2025","6913","1202"
"2025","4087","1050"
"2025","4438","0512"
"2025","4764","0301"
"2025","6047","0205"
"2025","5234","1050"
"2025","6225","0700"
"2025","4594","0311"
"2025","5405","0700"
"2025","6644","1050"
"2025","2344","0213"
"2025","5426","1050"
"2025","6633","0402"
"2025","6676","0507"
"2025","3118","0301"
"2025","3404","0529"
"2025","4196","0311"
"2025","5911","0700"
"2025","2267","0201"
"2025","3336","1050"
"2025","3538","0900"
"2025","3794","1433"
"2025","5776","0510"
"2025","6150","0301"
"2025","0468","0306"
"2025","4361","0405"
"2025","5122","0100"
"2025","6412","0302"
"2025","3557","0100"
"2025","5216","0900"
"2025","6543","0306"
"2025","4490","1489"
"2025","5767","0309"
"2025","6170","0301"
"2025","2501","1050"
"2025","5153","1050"
"2025","5196","1050"
"2025","1315","1050"
"2025","3037","1200"
"2025","6480","1202"
"2025","6964","0900"
"2025","4944","0313"
"2025","4497","0206"
"2025","5366","0948"
"2025","5394","0301"
"2025","3719","0100"
"2025","4779","0309"
"2025","5143","1050"
"2025","6916","0512"
"2025","0030","1848"
"2025","0803","0208"
"2025","2167","0301"
"2025","2449","0302"
"2025","2981","0213"
"2025","6245","0700"
"2025","3558","0507"
"2025","3484","0301"
"2025","4028","0512"
"2025","6876","0620"
"2025","4147","0900"
"2025","6236","0507"
"2025","3163","0700"
"2025","3395","0301"
"2025","0610","0513"
"2025","4343","0100"
"2025","2643","0901"
"2025","2879","0313"
"2025","6172","0507"
"2025","6061","0408"
"2025","6460","1206"
"2025","6543","0901"
"2025","3312","1338"
"2025","4586","0302"
"2025","5960","0534"
"2025","6077","0213"
"2025","2421","0428"
"2025","5741","0301"
"2025","1459","0301"
"2025","2589","1050"
"2025","5136","0415"
"2025","6402","1050"
"2025","6948","0203"
"2025","3694","0306"
"2025","3520","0404"
"2025","2436","1200"
"2025","5558","0946"
"2025","2334","0301"
"2025","6145","0305"
"2025","6262","0900"
"2025","6548","1050"
"2025","0161","0512"
"2025","3696","1200"
"2025","6976","1050"
"2025","3142","1202"
"2025","3620","0100"
"2025","4598","1202"
"2025","5166","0700"
"2025","6126","0100"
"2025","0044","0402"
"2025","0813","1050"
"2025","4165","0206"
"2025","4559","0302"
"2025","5106","0420"
"2025","5856","0620"
"2025","3633","0700"
"2025","5138","0918"
"2025","6432","0205"
"2025","3588","0900"
"2025","3721","0100"
"2025","2829","0513"
"2025","3244","0100"
"2025","4734","0100"
"2025","6127","0301"
"2025","9999","0301"
"2025","0501","0100"
"2025","4571","0301"
"2025","0824","0506"
"2025","3108","0700"
"2025","3451","0620"
"2025","4880","1462"
"2025","5650","1484"
"2025","6187","0420"
"2025","6707","0428"
"2025","6812","0100"
"2025","2237","1050"
"2025","5262","0301"
"2025","2869","0534"
"2025","4211","0404"
"2025","4928","0420"
"2025","6648","1733"
"2025","2001","0214"
"2025","0598","0100"
"2025","5985","1050"
"2025","2442","0100"
"2025","3967","0404"
"2025","5229","0507"
"2025","2964","0100"
"2025","4429","0620"
"2025","4677","0309"
"2025","5647","0202"
"2025","3721","0700"
"2025","5347","0406"
"2025","2204","0516"
"2025","5549","1051"
"2025","6468","1201"
"2025","0736","0301"
"2025","2214","0509"
"2025","4821","0531"
"2025","5530","0312"
"2025","6627","0700"
"2025","6654","1739"
"2025","6936","0100"
"2025","5975","0100"
"2025","4192","0620"
"2025","5976","0405"
"2025","3934","0213"
"2025","5771","1050"
"2025","4995","1202"
"2025","0188","1050"
"2025","0522","1050"
"2025","6299","1051"
"2025","4978","0302"
"2025","5411","0406"
"2025","6298","1691"
"2025","3891","0700"
"2025","4151","0302"
"2025","5468","0507"
"2025","5146","0919"
"2025","6012","0302"
"2025","4740","0301"
"2025","6534","0301"
"2025","3223","0404"
"2025","3685","0900"
"2025","4690","0100"
"2025","5752","0309"
"2025","1479","0502"
"2025","2461","1050"
"2025","6397","1681"
"2025","2096","1050"
"2025","2453","1208"
"2025","2964","0700"
"2025","3857","0509"
"2025","5049","0911"
"2025","5567","0100"
"2025","0172","1050"
"2025","0931","0209"
"2025","5526","0213"
"2025","0687","0304"
"2025","3389","0309"
"2025","4305","0309"
"2025","6777","0100"
"2025","2984","0301"
"2025","4647","0620"
